Player,Team,Nationality,Kill,Death,K/D,KAST,Prize,Role,HS %,Rounds Played,Rounds Win,Rounds Lose,Rank
Sacy,LOUD,Brazil,147,123,1.2,76%,"$60,000.00",Initiator,25.5,222,155,67,1
saadhak,LOUD,Argentina,150,143,1.05,76%,"$60,000.00",Initiator,22.5,222,155,67,1
pANcada,LOUD,Brazil,169,137,1.23,81%,"$60,000.00",Controller,36.75,222,155,67,1
Less,LOUD,Brazil,not defined,134,1.31,73%,"$60,000.00",Sentinel,26.5,222,155,67,1
aspas,LOUD,Brazil,166,158,1.05,71%,"$60,000.00",Duelist,26.25,222,155,67,1
yay,OPTC,United States,334,236,1.42,71%,"$30,000.00",Duelist,28.6,365,181,184,2
Marved,OPTC,Canada,240,252,0.95,73%,"$30,000.00",Controller,30.8,365,181,184,2
Victor,OPTC,United States,247,254,NaN,69%,"$30,000.00",Duelist,25.4,365,181,184,2
crashies,OPTC,United States,238,"	not defined",0.97,72%,"$30,000.00",Initiator,26.6,365,181,184,2
FNS,OPTC,Canada,188,247,NaN,67%,"$30,000.00",Sentinel,20.4,365,181,184,2
MaKo,DRX,South Corea,224,197,1.14,77%,"$22,000.00",Controller,31.2,313,145,168,3
BuZz,DRX,South Corea,"	not defined",237,0.99,66%,"$22,000.00",Duelist,27.4,313,145,168,3
Zest,DRX,South Corea,205,218,0.94,70%,"$22,000.00",Initiator,NaN,313,145,168,3
stax,DRX,South Corea,192,207,0.93,69%,"$22,000.00",Initiator,38.8,313,145,168,3
Rb,DRX,South Corea,192,"	not defined",NaN,69%,"$22,000.00",Flex,25.8,313,145,168,3
Zyppan,FPX,Sweeden,"	not defined",161,1.06,72%,"$16,000.00",Duelist,25.75,214,118,96,4
ardiis,FPX,Latvia,178,166,1.07,71%,"$16,000.00",Sentinel,20.75,214,118,96,4
SUYGETSU,FPX,International,153,142,1.08,70%,"$16,000.00",Controller,33,214,118,96,4
Shao,FPX,International,130,130,1,79%,"$16,000.00",Flex,29.75,214,118,96,4
ANGE1,FPX,Ukraine,99,168,0.59,60%,"$16,000.00",Flex,29,214,118,96,4
AYRIN,XSET,Canada,135,122,1.11,68%,"$12,000.00",Flex,16.67,183,71,112,5
BcJ,XSET,United States,119,"	not defined",0.93,73%,"$12,000.00",Flex,NaN,183,71,112,5
Cryocells,XSET,United States,156,119,1.31,68%,"$12,000.00",Flex,26.33,183,71,112,5
dephh,XSET,United Kingdom,"	not defined",129,0.83,72%,"$12,000.00",Flex,27,183,71,112,5
zekken,XSET,United States,121,141,0.86,63%,"$12,000.00",Flex,23,183,71,112,5
Derke,FNC,Finland,147,99,NaN,69%,"$12,000.00",Flex,33.33,152,79,73,6
Enzo,FNC,France,"	not defined","	not defined",1.11,77%,"$12,000.00",Initiator,20.67,152,79,73,6
Alfajer,FNC,Turkey,115,92,1.25,68%,"$12,000.00",Flex,30.33,152,79,73,6
Boaster,FNC,United Kingdom,92,97,0.95,73%,"$12,000.00",Controller,20.67,152,79,73,6
Mistic,FNC,United Kingdom,85,99,0.86,79%,"$12,000.00",Flex,24.67,152,79,73,6
Nivera,TL,Belgium,60,"	not defined",0.78,57%,"$8,000.00",Flex,33.5,81,42,39,7
Jamppi,TL,Finland,"	not defined",75,0.81,64%,"$8,000.00",Sentinel,29,81,42,39,7
Scream,TL,Belgium,69,73,0.95,60%,"$8,000.00",Duelist,NaN,81,42,39,7
dimasick,TL,Kazakhstan,54,74,0.73,67%,"$8,000.00",Controller,38.5,81,42,39,7
soulcas,TL,United Kingdom,63,75,0.84,70%,"$8,000.00",Initiator,33.5,81,42,39,7
kiNgg,LEV,Chile,"	not defined",54,1.52,75%,"$8,000.00",Flex,27,88,35,53,8
adverso,LEV,Chile,59,64,0.92,70%,"$8,000.00",Initiator,22.5,88,35,53,8
Melser,LEV,Chile,54,57,0.95,70%,"$8,000.00",Flex,NaN,88,35,53,8
Tacolilla,LEV,Chile,51,68,0.75,63%,"$8,000.00",Sentinel,24,88,35,53,8
Shyy,LEV,Chile,39,"	not defined",0.61,71%,"$8,000.00",Initiator,22,88,35,53,8
